word,sentence,pair,re-sentence
buy, And she's supposed to buy this?!,purchase,And she's supposed to purchase this?!
control, Ground control to Major Tom! Commencing countdownengineson!,command,Ground command to Major Tom! Commencing countdownengineson!
free,"Okay, you guys free tonight?",liberate,"Okay, you guys liberate tonight?"
glad,"Hey! Oh, I'm so glad you're home, I thought tonight we could finally organize these photos!",pleased,"Hey! Oh, I'm so pleased you're home, I thought tonight we could finally organize these photos!"
find,"You can also find him under umm, dog and dead.",locate,"You can also locate him under umm, dog and dead."
fix,"Ohhhh. Honey, honey, honey, it's okay, it's okay honey. I'm gonna fix you a drink, huh? Maybe a margarita?",repair,"Ohhhh. Honey, honey, honey, it's okay, it's okay honey. I'm gonna repair you a drink, huh? Maybe a margarita?"
dark,It is starting to get dark out there.,dim,It is starting to get dim out there.
grab,"Oh hey, Gary, want me to grab the berry for ya?",seize,"Oh hey, Gary, want me to seize the berry for ya?"
great,"Okay, I'll give them back.  Look! What is so great about that sandwich?",grand,"Okay, I'll give them back. Look! What is so grand about that sandwich?"
few,"I need a few more things to make the margaritas. Uhh, I need some salt, some margarita mix, and tequila.",several,"I need a several more things to make the margaritas. Uhh, I need some salt, some margarita mix, and tequila."
right,Noo! Oh no! No! God no! He should not get back together with her. I know that! You know that! Even Ross knows that! But that still doesnt give us the right to erase his message!,correct,Noo! Oh no! No! God no! He should not get back together with her. I know that! You know that! Even Ross knows that! But that still doesnt give us the correct to erase his message!
control,"I'm his sister, okay? I love him! I don't want to see him get hurt! Come on! Doesnt that give me the right to control himhelp him?",command,"I'm his sister, okay? I love him! I don't want to see him get hurt! Come on! Doesnt that give me the right to command himhelp him?"
right,"I'm his sister, okay? I love him! I don't want to see him get hurt! Come on! Doesnt that give me the right to control himhelp him?",correct,"I'm his sister, okay? I love him! I don't want to see him get hurt! Come on! Doesnt that give me the correct to control himhelp him?"
guess,"All right, I guess we should go.",estimate,"All right, I estimate we should go."
guess,"All right, I guess we should go.",speculate,"All right, I speculate we should go."
fix,"No, Monica! Monica! We have to fix this!",repair,"No, Monica! Monica! We have to repair this!"
whole,Wow! Play that message for Emily and this whole problem goes away!,entire,Wow! Play that message for Emily and this entire problem goes away!
right,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",correct,"Yeah! Sure! Yep! Oh, y'know what? If I heard a shot correct now, I'd throw my body on you."
glad,"Look I'm very glad that you saved Ross from the car backfire, but y'know, it could've been a bullet and you y'know, you didn't try to save me!",pleased,"Look I'm very pleased that you saved Ross from the car backfire, but y'know, it could've been a bullet and you y'know, you didn't try to save me!"
near,The most amazing thing happened tonight. I thought my number was up. I had an actual near death experience!,close,The most amazing thing happened tonight. I thought my number was up. I had an actual close death experience!
seize,"No, a car backfired, but  I thought somebody was taking a shot at me. And Rach, II survived! And I was filled with this-this great respect for life. Y'know? I-I want to experience every moment. I want to seize every opportunity. I-I am seeing everything so-so clearly now.",grab,"No, a car backfired, but I thought somebody was taking a shot at me. And Rach, II survived! And I was filled with this-this great respect for life. Y'know? I-I want to experience every moment. I want to grab every opportunity. I-I am seeing everything so-so clearly now."
great,"No, a car backfired, but  I thought somebody was taking a shot at me. And Rach, II survived! And I was filled with this-this great respect for life. Y'know? I-I want to experience every moment. I want to seize every opportunity. I-I am seeing everything so-so clearly now.",grand,"No, a car backfired, but I thought somebody was taking a shot at me. And Rach, II survived! And I was filled with this-this grand respect for life. Y'know? I-I want to experience every moment. I want to seize every opportunity. I-I am seeing everything so-so clearly now."
whole,"Well, I-I-I don't know how this fits into your whole ""seizing"" thing but um, Emily called you today.",entire,"Well, I-I-I don't know how this fits into your entire ""seizing"" thing but um, Emily called you today."
mistake,"Well, uh something about having second thoughts about the wedding and did you guys make a mistake breaking up and uh, she wants you to call her.",error,"Well, uh something about having second thoughts about the wedding and did you guys make a error breaking up and uh, she wants you to call her."
guess,"Right. I guess, I guess I should call Emily.",estimate,"Right. I guess, I estimate I should call Emily."
guess,"Right. I guess, I guess I should call Emily.",speculate,"Right. I guess, I speculate I should call Emily."
right,"Okay, no, that's not the right decision. That's not, that's not right, no Ross-Ross, come on! I mean, that woman made you miserable! Okay, Ross, do you really want to get back into that?",correct,"Okay, no, that's not the correct decision. That's not, that's not right, no Ross-Ross, come on! I mean, that woman made you miserable! Okay, Ross, do you really want to get back into that?"
near,"Okay, look, yesterday I would've even considered calling her back, but my ex-wife calls on the same day I have a near death experience. I mean, that-that has got to mean something!",close,"Okay, look, yesterday I would've even considered calling her back, but my ex-wife calls on the same day I have a close death experience. I mean, that-that has got to mean something!"
near,"Ugh, Ross! That was not a near death experience! That was barely an experience!",close,"Ugh, Ross! That was not a close death experience! That was barely an experience!"
seize,"That does make sense. Because I do wanna seize some opportunity, but I-I really don't wanna see or talk to her.",grab,"That does make sense. Because I do wanna grab some opportunity, but I-I really don't wanna see or talk to her."
close,"Yeah. Maybe today is just, close call day.",near,"Yeah. Maybe today is just, near call day."
great,"Man, I would be great in a war! I mean, I really, I think I would make a fantastic military leader. I mean I know I would make General way before any of you guys.",grand,"Man, I would be grand in a war! I mean, I really, I think I would make a fantastic military leader. I mean I know I would make General way before any of you guys."
ask,"I know, really well. In fact, I'm gonna ask Phoebe to move in with me.",inquire,"I know, really well. In fact, I'm gonna inquire Phoebe to move in with me."
ask,I think that is so great! When are you gonna ask her?,inquire,I think that is so great! When are you gonna inquire her?
control,"I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose control and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the whole funeral",command,"I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose command and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the whole funeral"
whole,"I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose control and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the whole funeral",entire,"I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose control and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the entire funeral"
ask, Gary's gonna ask you to move in with him!!,inquire,Gary's gonna inquire you to move in with him!!
ask,I don't know. I'll just handle itI'll ask you to talk to him!,inquire,I don't know. I'll just handle itI'll inquire you to talk to him!
right,"All right listen umm, I just bought something I'm not sure she's gonna like it, and it's gonna seem a little crazy, but this is something that I wanted since I was a little girl.",correct,"All correct listen umm, I just bought something I'm not sure she's gonna like it, and it's gonna seem a little crazy, but this is something that I wanted since I was a little girl."
right,"All right listen ball boys! My grandmother had one of these when I was a little girl and it was the sweetest thing! I mean it was so cute, it would sit in my lap and purr all day long, and I would drag a shoestring on the ground and he would chase it!",correct,"All correct listen ball boys! My grandmother had one of these when I was a little girl and it was the sweetest thing! I mean it was so cute, it would sit in my lap and purr all day long, and I would drag a shoestring on the ground and he would chase it!"
buy,"Free cats do that too, y'know. {Which reminds me, if I might get a little political here, support your local animal shelter. Pet shops are not the place to buy dogs and cats from, you get a much better deal from the shelter, plus they probably won't die on you in a week and a half. If you want a leash, go to the pet shop. If you want the dog for that leash, go to the shelter and save it's life. Now back to regularly scheduled programming.}",purchase,"Free cats do that too, y'know. {Which reminds me, if I might get a little political here, support your local animal shelter. Pet shops are not the place to purchase dogs and cats from, you get a much better deal from the shelter, plus they probably won't die on you in a week and a half. If you want a leash, go to the pet shop. If you want the dog for that leash, go to the shelter and save it's life. Now back to regularly scheduled programming.}"
great,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",grand,"Hey Ross, wouldn't it be grand if we could go two straight hours without dropping it?!"
find,"Listen Chandler, the way I see it is that I was lucky enough to find someone that I really love. I justI wanna be around her as much as I can.",locate,"Listen Chandler, the way I see it is that I was lucky enough to locate someone that I really love. I justI wanna be around her as much as I can."
lucky,"Listen Chandler, the way I see it is that I was lucky enough to find someone that I really love. I justI wanna be around her as much as I can.",fortunate,"Listen Chandler, the way I see it is that I was fortunate enough to find someone that I really love. I justI wanna be around her as much as I can."
right,"Yeah, I think I do! Y'know what? You move in with her! You move in with her right now! Maybe I should in with Monica!",correct,"Yeah, I think I do! Y'know what? You move in with her! You move in with her correct now! Maybe I should in with Monica!"
right," Yeah, you're right about that.",correct,"Yeah, you're correct about that."
right,"Joey, I left my watch on the counter last night.  It was right here, where is it?",correct,"Joey, I left my watch on the counter last night. It was correct here, where is it?"
find,"Guys, could you please just stop throwing the ball for one minute and just help me find it!",locate,"Guys, could you please just stop throwing the ball for one minute and just help me locate it!"
lucky,"He's a great guy, y'know? And he loves you a lot, you are a very lucky lady.",fortunate,"He's a great guy, y'know? And he loves you a lot, you are a very fortunate lady."
great,"He's a great guy, y'know? And he loves you a lot, you are a very lucky lady.",grand,"He's a grand guy, y'know? And he loves you a lot, you are a very lucky lady."
ask,"Im sorry.  If you ask me, I'd move in with him.",inquire,"Im sorry. If you inquire me, I'd move in with him."
big,I really don't want to mess up what we have. I'm justI'm worried it's gonna be a big mistake.,large,I really don't want to mess up what we have. I'm justI'm worried it's gonna be a large mistake.
answer,Which is why my answer is yes!,reply,Which is why my reply is yes!
right,That's right baby.,correct,That's correct baby.
regular,"Well, they said would but they would only give me store credit. I mean, what am I going to do, get a thousand regular cats?",frequent,"Well, they said would but they would only give me store credit. I mean, what am I going to do, get a thousand frequent cats?"
find,"Look, if you want you can keep it at our place until you find out what to do with it.",locate,"Look, if you want you can keep it at our place until you locate out what to do with it."
great,We have great news!,grand,We have grand news!
find,"Hey, honey! Okay, so did you find any apartments? Anything in Brooklyn Heights?",locate,"Hey, honey! Okay, so did you locate any apartments? Anything in Brooklyn Heights?"
right,"No, as soon as something opens up we'll move right in. Unless it doesn't have a pool, I need a pool. ",correct,"No, as soon as something opens up we'll move correct in. Unless it doesn't have a pool, I need a pool."
great,"Come on! Gary's such a great guy! Whatever the problem is, you can work it out!",grand,"Come on! Gary's such a grand guy! Whatever the problem is, you can work it out!"
close,Anytime anything comes close to touching her eye or anyone else's she like freaks out. Watch! Watch! ,near,Anytime anything comes near to touching her eye or anyone else's she like freaks out. Watch! Watch!
great,"Hey Rach, remember that great song, Me, Myself, and I? ",grand,"Hey Rach, remember that grand song, Me, Myself, and I?"
furious, I am so sorry you got caught in the middle of that. I didn't mean to be so out there. I am furious with him!,angry,I am so sorry you got caught in the middle of that. I didn't mean to be so out there. I am angry with him!
middle, I am so sorry you got caught in the middle of that. I didn't mean to be so out there. I am furious with him!,center,I am so sorry you got caught in the center of that. I didn't mean to be so out there. I am furious with him!
calm,"Wow umm, calm down.",tranquil,"Wow umm, tranquil down."
lead,You got the lead in a movie? That's amazing! What's the movie about?!,guide,You got the guide in a movie? That's amazing! What's the movie about?!
find,"It's called Shutter Speed, it's really cool! Yeah, umm, I meet this girl in the subway and we fall in love in like a day, right? And then, she disappears But I find out where she lives and when I get there this like old lady answers the door and I say, ""Where's Betsy?"" Right? And she says, ""Betsy's been dead for 10 years.""",locate,"It's called Shutter Speed, it's really cool! Yeah, umm, I meet this girl in the subway and we fall in love in like a day, right? And then, she disappears But I locate out where she lives and when I get there this like old lady answers the door and I say, ""Where's Betsy?"" Right? And she says, ""Betsy's been dead for 10 years."""
ask,Chandler! You don't have to ask for my permission.  You can go.,inquire,Chandler! You don't have to inquire for my permission. You can go.
decide,"I can't decide which route to take to Vegas. Hey, you've traveled a lot right?",determine,"I can't determine which route to take to Vegas. Hey, you've traveled a lot right?"
different,"Ooh, if you take the northern route there's a man in Illinois with a beard of bees. {Okay, I must protest this, I've lived in Illinois all my life and know of no man with a beard of bees! Wisconsin, on the other hand, might be a different story.}",distinct,"Ooh, if you take the northern route there's a man in Illinois with a beard of bees. {Okay, I must protest this, I've lived in Illinois all my life and know of no man with a beard of bees! Wisconsin, on the other hand, might be a distinct story.}"
answer,"Oh, I know a way that you can decide! All right, I'm going to ask you a series of questions and you answer as quickly as you can.",reply,"Oh, I know a way that you can decide! All right, I'm going to ask you a series of questions and you reply as quickly as you can."
ask,"Oh, I know a way that you can decide! All right, I'm going to ask you a series of questions and you answer as quickly as you can.",inquire,"Oh, I know a way that you can decide! All right, I'm going to inquire you a series of questions and you answer as quickly as you can."
answer,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick. Okay?",reply,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you reply real quick. Okay?"
ask,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick. Okay?",inquire,"I don't know. But hey, I know we can decide. Okay, I'm gonna inquire you questions and you answer real quick. Okay?"
whole,"Oh, I'm sorry. I forgot you had that whole Rachel thing.",entire,"Oh, I'm sorry. I forgot you had that entire Rachel thing."
guess,"Okay then, I guess we'll see you back here in three months.",estimate,"Okay then, I estimate we'll see you back here in three months."
guess,"Okay then, I guess we'll see you back here in three months.",speculate,"Okay then, I speculate we'll see you back here in three months."
fit,And I'll fit you for a glass eye.,suit,And I'll suit you for a glass eye.
cold,"Yeah, listen, how cold is it going to be there? Do I need a coat or will all these sweater vests be enough? ",chilly,"Yeah, listen, how chilly is it going to be there? Do I need a coat or will all these sweater vests be enough?"
big,"Hey, so where are we staying? Is the movie putting us up in a big hotel suite?",large,"Hey, so where are we staying? Is the movie putting us up in a large hotel suite?"
big,"Uh no, not really. It's an independent film y'know? So we don't have a real big budget. I figured I'd just stay in your room.",large,"Uh no, not really. It's an independent film y'know? So we don't have a real large budget. I figured I'd just stay in your room."
big,"I see, but once you get your first paycheck you'll be springing a big hotel suite, right? I mean, lead in a movie, they must be paying you a lot?",large,"I see, but once you get your first paycheck you'll be springing a large hotel suite, right? I mean, lead in a movie, they must be paying you a lot?"
lead,"I see, but once you get your first paycheck you'll be springing a big hotel suite, right? I mean, lead in a movie, they must be paying you a lot?",guide,"I see, but once you get your first paycheck you'll be springing a big hotel suite, right? I mean, guide in a movie, they must be paying you a lot?"
right,"Oh yeah! For every dollar Shutter Speed makes, one penny of it goes right in Joey's pocket.",correct,"Oh yeah! For every dollar Shutter Speed makes, one penny of it goes correct in Joey's pocket."
answer,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!",reply,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to reply real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!"
ask,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!",inquire,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna inquire you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!"
clear,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!",obvious,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, obvious your mind Clear it right out! Clear it out! Clear!"
right,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it right out! Clear it out! Clear!",correct,"Ooh, hey, I know how we can decide! All right, uh, I'm gonna ask you a bunch of questions and then you have to answer real fast. Okay? So uh, clear your mind Clear it correct out! Clear it out! Clear!"
big,Is this movie gonna be my big break?,large,Is this movie gonna be my large break?
big,You don't think this is going to be a big break for me?,large,You don't think this is going to be a large break for me?
lead,What are you talking about?! I'm the lead in a movie!,guide,What are you talking about?! I'm the guide in a movie!
big,Y'know what? I don't need this! Okay? I don't know why you're dumping all over my big break.,large,Y'know what? I don't need this! Okay? I don't know why you're dumping all over my large break.
big,"Joe, I don't think this is going to be your big break.",large,"Joe, I don't think this is going to be your large break."
ask,"All right, I'll tell ya what, the next time you ask me a question like that I'll lie.",inquire,"All right, I'll tell ya what, the next time you inquire me a question like that I'll lie."
right,"All right, fine! Fine! Why don't you pull over? I'll get out right now!",correct,"All right, fine! Fine! Why don't you pull over? I'll get out correct now!"
angry,Are you angry at me because I said your handwriting is childlike?,furious,Are you furious at me because I said your handwriting is childlike?
answer,"I don't know! He went crazy! Y'know, we were playing that game where you-you ask a question and you answer it really fast.",reply,"I don't know! He went crazy! Y'know, we were playing that game where you-you ask a question and you reply it really fast."
ask,"I don't know! He went crazy! Y'know, we were playing that game where you-you ask a question and you answer it really fast.",inquire,"I don't know! He went crazy! Y'know, we were playing that game where you-you inquire a question and you answer it really fast."
big,"Well, I don't know what mad him so mad, y'know? All I said was that uh, I didn't think this wasn't gonna be his big break, that this movie wasn't going to do anything for him, and that uh, y'know it didn't sound like a real movie--Okay, he should've pushed me off of the bridge.",large,"Well, I don't know what mad him so mad, y'know? All I said was that uh, I didn't think this wasn't gonna be his large break, that this movie wasn't going to do anything for him, and that uh, y'know it didn't sound like a real movie--Okay, he should've pushed me off of the bridge."
right,"Wow, y'know if Joey and Chandler walked in right now, we could make a fortune! ",correct,"Wow, y'know if Joey and Chandler walked in correct now, we could make a fortune!"
ask,Let's just say there's a well-dressed pack of dogs in Ohio. Hey Monica listen is-is Phoebe there? I gotta ask her something about the car.,inquire,Let's just say there's a well-dressed pack of dogs in Ohio. Hey Monica listen is-is Phoebe there? I gotta inquire her something about the car.
guess,"Okay Joey? Chandler's here, he was wondering  Okay, I guess he ran out of change.",estimate,"Okay Joey? Chandler's here, he was wondering Okay, I estimate he ran out of change."
guess,"Okay Joey? Chandler's here, he was wondering  Okay, I guess he ran out of change.",speculate,"Okay Joey? Chandler's here, he was wondering Okay, I speculate he ran out of change."
answer," Okay Pheebs, I know how we're going to figure this out. Okay, clear your mind and answer the first thing that comes into your head. Okay?",reply,"Okay Pheebs, I know how we're going to figure this out. Okay, clear your mind and reply the first thing that comes into your head. Okay?"
clear," Okay Pheebs, I know how we're going to figure this out. Okay, clear your mind and answer the first thing that comes into your head. Okay?",obvious,"Okay Pheebs, I know how we're going to figure this out. Okay, obvious your mind and answer the first thing that comes into your head. Okay?"
chance,"Oh, come on! Yes, remember that time on the frozen lake? We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz!  Okay, there's a chance this may have been a dream.",opportunity,"Oh, come on! Yes, remember that time on the frozen lake? We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz! Okay, there's a opportunity this may have been a dream."
big,"Hey Joey! Aww, you remembered even though you're a big star!",large,"Hey Joey! Aww, you remembered even though you're a large star!"
right,No! No! It's just that all the people in the entire world that I want to talk to are right here.,correct,No! No! It's just that all the people in the entire world that I want to talk to are correct here.
entire,No! No! It's just that all the people in the entire world that I want to talk to are right here.,whole,No! No! It's just that all the people in the whole world that I want to talk to are right here.
big,No!  Because he didn't believe in my movie! Which is a big mistake because it is real! Real!,large,No! Because he didn't believe in my movie! Which is a large mistake because it is real! Real!
mistake,No!  Because he didn't believe in my movie! Which is a big mistake because it is real! Real!,error,No! Because he didn't believe in my movie! Which is a big error because it is real! Real!
whole,"Oh, I can't believe you guys lasted a whole year!",entire,"Oh, I can't believe you guys lasted a entire year!"
different,On a totally different bet.,distinct,On a totally distinct bet.
friend,I know. Can you believe it? One year ago today I was just your annoying friend Chandler.,companion,I know. Can you believe it? One year ago today I was just your annoying companion Chandler.
friend,Awww! Now you're just my annoying friend Chandler.,companion,Awww! Now you're just my annoying companion Chandler.
great,It's a great idea. ,grand,It's a grand idea.
great,"Uh-huh, great story! I'm going!",grand,"Uh-huh, grand story! I'm going!"
guess,"Well, I guess I could take a couple days off work.",estimate,"Well, I estimate I could take a couple days off work."
guess,"Well, I guess I could take a couple days off work.",speculate,"Well, I speculate I could take a couple days off work."
right,Yeah? All right I'll call the airlines. ,correct,Yeah? All correct I'll call the airlines.
answer,Uh-huh! Why do you think it takes me so long to answer the door?,reply,Uh-huh! Why do you think it takes me so long to reply the door?
guess,"Yeah, I guess it's a little better now.",estimate,"Yeah, I estimate it's a little better now."
guess,"Yeah, I guess it's a little better now.",speculate,"Yeah, I speculate it's a little better now."
present,Can I give you a present now?,gift,Can I give you a gift now?
fake,"I love the ""I forgot the present"" fake out!",counterfeit,"I love the ""I forgot the present"" counterfeit out!"
fake,"How do you feel about the, ""I really did forgot the present, please forgive me"" not fake out?",counterfeit,"How do you feel about the, ""I really did forgot the present, please forgive me"" not counterfeit out?"
big,"Oh yeah! Yeah, so you-you bumped into Richard! You grabbed a bite! It's no big deal. ",large,"Oh yeah! Yeah, so you-you bumped into Richard! You grabbed a bite! It's no large deal."
right,"All right I guess I'm, gonna go pack. ",correct,"All correct I guess I'm, gonna go pack."
guess,"All right I guess I'm, gonna go pack. ",estimate,"All right I estimate I'm, gonna go pack."
guess,"All right I guess I'm, gonna go pack. ",speculate,"All right I speculate I'm, gonna go pack."
right,"Uhh, because I'm shooting a scene right now. Yeah, I uh, I play a gladiator. Uh, y'know what? Hold-hold on a second.  Can we cut? Yeah, my-my friends are here, I'm gonna take a little break.",correct,"Uhh, because I'm shooting a scene correct now. Yeah, I uh, I play a gladiator. Uh, y'know what? Hold-hold on a second. Can we cut? Yeah, my-my friends are here, I'm gonna take a little break."
big,Whoa! Whoa! Guys! Please! Come on! Come on! This is obviously just a big misunderstanding.,large,Whoa! Whoa! Guys! Please! Come on! Come on! This is obviously just a large misunderstanding.
right,"Yeah, sure! Sure! They would uh, they would scrub the floors with it! They would use it to get the mud off their shoe. And sometimes underneath the horse would get dirty so they would stick it right",correct,"Yeah, sure! Sure! They would uh, they would scrub the floors with it! They would use it to get the mud off their shoe. And sometimes underneath the horse would get dirty so they would stick it correct"
right,"All right well, I'll take you someplace nice then. Look! A guy tipped me a hundred bucks today.",correct,"All correct well, I'll take you someplace nice then. Look! A guy tipped me a hundred bucks today."
build,"Y'know, if I won $5,000 I'd join a gym, y'know build up my upper body and hit Richard from behind with a stick! ",construct,"Y'know, if I won $5,000 I'd join a gym, y'know construct up my upper body and hit Richard from behind with a stick!"
find,So go fix it! Go find Chandler! He's probably up in your room! Tell him that you're sorry and that you love him.,locate,So go fix it! Go locate Chandler! He's probably up in your room! Tell him that you're sorry and that you love him.
fix,So go fix it! Go find Chandler! He's probably up in your room! Tell him that you're sorry and that you love him.,repair,So go repair it! Go find Chandler! He's probably up in your room! Tell him that you're sorry and that you love him.
right,Y'know what? You're right Phoebe. You're right. Thank you! ,correct,Y'know what? You're correct Phoebe. You're right. Thank you!
friend,"Yes, I'm sorry. Do you have any extra pants? Umm, my friend seems to have had a little accident.",companion,"Yes, I'm sorry. Do you have any extra pants? Umm, my companion seems to have had a little accident."
big,"Look, I don't have it all worked out yet, but it's gotta mean big money! Come on! Identical hands!",large,"Look, I don't have it all worked out yet, but it's gotta mean large money! Come on! Identical hands!"
right,"No! No! I support you 100%! I just didn't, I didn't get it right away. Y'know now I'm caught up! Identical hand twins! It's a million-dollar idea!",correct,"No! No! I support you 100%! I just didn't, I didn't get it correct away. Y'know now I'm caught up! Identical hand twins! It's a million-dollar idea!"
find,"Yes! Now, she feels terrible! She really wants to make up! You gotta find her.",locate,"Yes! Now, she feels terrible! She really wants to make up! You gotta locate her."
beautiful,"Yes, it's a deadly but beautiful sport. ",gorgeous,"Yes, it's a deadly but gorgeous sport."
big,"Okay. Well, if that's how you feel about it, fine! None of you get to live with me in my great big hand-shaped mansion! Except uh, you Pheebs. You can live in the thumb.",large,"Okay. Well, if that's how you feel about it, fine! None of you get to live with me in my great large hand-shaped mansion! Except uh, you Pheebs. You can live in the thumb."
great,"Okay. Well, if that's how you feel about it, fine! None of you get to live with me in my great big hand-shaped mansion! Except uh, you Pheebs. You can live in the thumb.",grand,"Okay. Well, if that's how you feel about it, fine! None of you get to live with me in my grand big hand-shaped mansion! Except uh, you Pheebs. You can live in the thumb."
right,"All right baby, come on!  Yes! Yes! I am on fire!",correct,"All correct baby, come on! Yes! Yes! I am on fire!"
find,"What? Wait! Why?  Chandler! Chandler! Wait! Im sorry, I was just playing for one second! I was trying to find you to tell you that, look if you don't want me to see Richard again, I won't! He means nothing to me!",locate,"What? Wait! Why? Chandler! Chandler! Wait! Im sorry, I was just playing for one second! I was trying to locate you to tell you that, look if you don't want me to see Richard again, I won't! He means nothing to me!"
dark,"He's kinda tall, dark hair, hand looks exactly like this.  See?",dim,"He's kinda tall, dim hair, hand looks exactly like this. See?"
great,"Oh my God, I'm starting to look like my great aunt, Muriel.",grand,"Oh my God, I'm starting to look like my grand aunt, Muriel."
right,"That's right baby! Okay, what do I want now?",correct,"That's correct baby! Okay, what do I want now?"
buy,"If you get this one, we buy everybody here a steak dinner!",purchase,"If you get this one, we purchase everybody here a steak dinner!"
buy, We're not really gonna buy these people steak dinners are we?,purchase,We're not really gonna purchase these people steak dinners are we?
hard,"Ahh, ooh, try a hard 8.",difficult,"Ahh, ooh, try a difficult 8."
lucky, Don't you let her go! You're a lucky guy!,fortunate,Don't you let her go! You're a fortunate guy!
hard,Another hard 8.,difficult,Another difficult 8.
easy,Hard 8?! We should call it easy 8!,simple,Hard 8?! We should call it simple 8!
hard,"Okay, okay, I tell you what. You roll another hard eight;  and we get married here tonight.",difficult,"Okay, okay, I tell you what. You roll another difficult eight; and we get married here tonight."
hard,You roll another hard eight and we get married here tonight.,difficult,You roll another difficult eight and we get married here tonight.
guess,"Okay, so if an eight comes up, we take it as a sign and we do it! {Whoa! Where have I heard that before? Matthew Perry talking about signs in Las Vegas. I guess it must've been some movie I saw.} What do you say?",estimate,"Okay, so if an eight comes up, we take it as a sign and we do it! {Whoa! Where have I heard that before? Matthew Perry talking about signs in Las Vegas. I estimate it must've been some movie I saw.} What do you say?"
guess,"Okay, so if an eight comes up, we take it as a sign and we do it! {Whoa! Where have I heard that before? Matthew Perry talking about signs in Las Vegas. I guess it must've been some movie I saw.} What do you say?",speculate,"Okay, so if an eight comes up, we take it as a sign and we do it! {Whoa! Where have I heard that before? Matthew Perry talking about signs in Las Vegas. I speculate it must've been some movie I saw.} What do you say?"
convince,"Look-look-look you guys, I need some help! Okay? Someone is going to have to convince my hand twin to cooperate!",persuade,"Look-look-look you guys, I need some help! Okay? Someone is going to have to persuade my hand twin to cooperate!"
right,"Excuse me sir, you've got a little something right here. ",correct,"Excuse me sir, you've got a little something correct here."
ask,"Uhh, Ms. Phalange, may I ask you a question as an impartial person at-at this table?",inquire,"Uhh, Ms. Phalange, may I inquire you a question as an impartial person at-at this table?"
big,"Whats the big deal, yknow? Its not like its a real marriage.",large,"Whats the large deal, yknow? Its not like its a real marriage."
glad,"Ohh, I mean, we were really drunk. Im just glad we didnt do anything stupid.",pleased,"Ohh, I mean, we were really drunk. Im just pleased we didnt do anything stupid."
guess,"Nah, Im too depressed to eat. Ill probably eat in like 5 minutes. So I guess Ill just fly home with you guys, what times your flight?",estimate,"Nah, Im too depressed to eat. Ill probably eat in like 5 minutes. So I estimate Ill just fly home with you guys, what times your flight?"
guess,"Nah, Im too depressed to eat. Ill probably eat in like 5 minutes. So I guess Ill just fly home with you guys, what times your flight?",speculate,"Nah, Im too depressed to eat. Ill probably eat in like 5 minutes. So I speculate Ill just fly home with you guys, what times your flight?"
chance,"Itll be great! We-we could talk, and play games! Huh? This could be our chance to like renew our friendship.",opportunity,"Itll be great! We-we could talk, and play games! Huh? This could be our opportunity to like renew our friendship."
right,"Hell, Im drunk right now!  What? I cant have a mimosa with breakfast?! Im on vacation!",correct,"Hell, Im drunk correct now! What? I cant have a mimosa with breakfast?! Im on vacation!"
